Is iolo       ,60414,60647,5,121066,,,,,,,,,,,,,,,,,,,
Merti        ,24435,22768,3,47206,,,,,,,,,,,,,,,,,,,
Meru        ,767698,777975,41,1545714,,,,,,,,,,,,,,,,,,,
Buuri East     ,38101,38497,,76598,,,,,,,,,,,,,,,,,,,
Buuri West     ,40496,40264,2,80762,,,,,,,,,,,,,,,,,,,
Igem be Central     ,111208,110200,4,221412,,,,,,,,,,,,,,,,,,,
Igem be North    ,83364,85949,4,169317,,,,,,,,,,,,,,,,,,,
Igem be South    ,80192,81446,8,161646,,,,,,,,,,,,,,,,,,,
Im enti North    ,88506,89056,5,177567,,,,,,,,,,,,,,,,,,,
Im enti South    ,103338,103162,6,206506,,,,,,,,,,,,,,,,,,,
Meru Central    ,66920,66894,4,133818,,,,,,,,,,,,,,,,,,,
Tigania Central     ,51814,52916,,104730,,,,,,,,,,,,,,,,,,,
Tigania East    ,35352,37194,3,72549,,,,,,,,,,,,,,,,,,,
Tigania West    ,67715,72241,5,139961,,,,,,,,,,,,,,,,,,,
Meru National Park*   ,283,102,,385,,,,,,,,,,,,,,,,,,,
Mt. Kenya Fores t*     ,409,54,,463,,,,,,,,,,,,,,,,,,,
Tharaka-Nithi     ,193764,199406,7,393177,,,,,,,,,,,,,,,,,,,
Igam bang'om be     ,26464,26745,1,53210,,,,,,,,,,,,,,,,,,,
Maara       ,57689,57205,,114894,,,,,,,,,,,,,,,,,,,
Meru South     ,44923,46155,2,91080,,,,,,,,,,,,,,,,,,,
Tharaka North     .,28290,30053,2,58345,,,,,,,,,,,,,,,,,,,
Tharaka South     .,36190,39058,2,75250,,,,,,,,,,,,,,,,,,,
Mt. Kenya Fores t*     ,208,190,,398,,,,,,,,,,,,,,,,,,,
Embu        ,304208,304367,24,608599,,,,,,,,,,,,,,,,,,,
Embu East     ,64571,64991,2,129564,,,,,,,,,,,,,,,,,,,
Embu North    ,39665,39888,3,79556,,,,,,,,,,,,,,,,,,,
Embu West     ,63125,63966,9,127100,,,,,,,,,,,,,,,,,,,
Mbeere South    ,83311,80159,6,163476,,,,,,,,,,,,,,,,,,,
Mbeere North    ,53517,55360,4,108881,,,,,,,,,,,,,,,,,,,
Mt. Kenya Fores t*     ,19,3,,22,,,,,,,,,,,,,,,,,,,
Kitui        ,549003,587151,33,1136187,,,,,,,,,,,,,,,,,,,
Ikutha       ,39986,42976,2,82964,,,,,,,,,,,,,,,,,,,
Katulani      ,23150,23957,1,47108,,,,,,,,,,,,,,,,,,,
Kisasi       ,22646,23496,,46142,,,,,,,,,,,,,,,,,,,
Kitui Central    ,52123,53863,5,105991,,,,,,,,,,,,,,,,,,,
Kitui West     ,33887,36983,1,70871,,,,,,,,,,,,,,,,,,,
Kyus o       ,36789,40077,1,76867,,,,,,,,,,,,,,,,,,,
Lower Yatta     ,31701,31628,,63329,,,,,,,,,,,,,,,,,,,
Matinyani      ,23362,24448,1,47811,,,,,,,,,,,,,,,,,,,
Migwani      ,37525,41726,4,79255,,,,,,,,,,,,,,,,,,,
Mum oni      ,13748,15596,,29344,,,,,,,,,,,,,,,,,,,
Mutitu       ,26388,28896,3,55287,,,,,,,,,,,,,,,,,,,
Mutitu North     ,10337,10877,1,21215,,,,,,,,,,,,,,,,,,,
Mutom o      ,54819,58531,6,113356,,,,,,,,,,,,,,,,,,,
Mwingi Central     .,52539,56174,,108713,,,,,,,,,,,,,,,,,,,
Mwingi Eas t    ,40314,44820,5,85139,,,,,,,,,,,,,,,,,,,
Nzam bani     ,22929,23857,2,46788,,,,,,,,,,,,,,,,,,,
Thagicu      ,7141,7994,1,15136,,,,,,,,,,,,,,,,,,,
Tseikuru      ,19619,21252,,40871,,,,,,,,,,,,,,,,,,,
Machakos      ,710707,711191,34,1421932,,,,,,,,,,,,,,,,,,,
Athi River      ,164322,158172,5,322499,,,,,,,,,,,,,,,,,,,
Kalama      ,26764,27692,6,54462,,,,,,,,,,,,,,,,,,,
Kangundo     ,48697,49219,1,97917,,,,,,,,,,,,,,,,,,,
Kathiani      ,54910,56976,4,111890,,,,,,,,,,,,,,,,,,,
Machakos      ,85486,85114,6,170606,,,,,,,,,,,,,,,,,,,
Mas inga      ,73519,75001,2,148522,,,,,,,,,,,,,,,,,,,
Matungulu     ,81145,80407,5,161557,,,,,,,,,,,,,,,,,,,
Mwala       ,90427,91466,3,181896,,,,,,,,,,,,,,,,,,,
Yatta       ,85437,87144,2,172583,,,,,,,,,,,,,,,,,,,
Makueni       ,489691,497942,20,987653,,,,,,,,,,,,,,,,,,,
Kathonzweni    ,39335,40442,3,79780,,,,,,,,,,,,,,,,,,,
Kibwezi      ,98477,98517,6,197000,,,,,,,,,,,,,,,,,,,
Kilungu      ,29019,31932,1,60952,,,,,,,,,,,,,,,,,,,
Makindu      ,42204,42742,,84946,,,,,,,,,,,,,,,,,,,
Makueni      ,65418,64955,2,130375,,,,,,,,,,,,,,,,,,,
Mbooni Eas t    ,48152,49601,3,97756,,,,,,,,,,,,,,,,,,,
Mbooni Wes t    ,49434,53159,1,102594,,,,,,,,,,,,,,,,,,,
Mukaa       ,54481,53068,,107549,,,,,,,,,,,,,,,,,,,
Nzaui       ,63171,63526,4,126701,,,,,,,,,,,,,,,,,,,
Nyandarua      ,315022,323247,20,638289,,,,,,,,,,,,,,,,,,,
Kinangop      ,54727,56679,4,111410,,,,,,,,,,,,,,,,,,,
Nyandarua South     ,46157,47708,5,93870,,,,,,,,,,,,,,,,,,,
Mirangine     ,33447,33766,1,67214,,,,,,,,,,,,,,,,,,,
Kipipiri       ,46113,47740,2,93855,,,,,,,,,,,,,,,,,,,
Nyandarua Central    ,37329,37931,2,75262,,,,,,,,,,,,,,,,,,,
Nyandarua Wes t     ,48752,49209,4,97965,,,,,,,,,,,,,,,,,,,
Nyandarua North     ,48486,50210,2,98698,,,,,,,,,,,,,,,,,,,
Aberdare National Park* ,11,4,,15,,,,,,,,,,,,,,,,,,,
Nyeri        ,374288,384845,31,759164,,,,,,,,,,,,,,,,,,,
Tetu        ,39293,41155,5,80453,,,,,,,,,,,,,,,,,,,
Kieni East     ,55360,55012,4,110376,,,,,,,,,,,,,,,,,,,
Kieni West     ,43843,44677,5,88525,,,,,,,,,,,,,,,,,,,
Mathira Eas t    ,48070,50992,3,99065,,,,,,,,,,,,,,,,,,,
Mathira Wes t    ,29480,30412,3,59895,,,,,,,,,,,,,,,,,,,
Nyeri South     ,44115,46964,2,91081,,,,,,,,,,,,,,,,,,,
Mukurwe-ini    ,43975,45156,6,89137,,,,,,,,,,,,,,,,,,,
Nyeri Central    ,69955,70380,3,140338,,,,,,,,,,,,,,,,,,,
Mt. Kenya Fores t*     ,123,65,,188,,,,,,,,,,,,,,,,,,,
Aberdare Fores t*     ,74,32,,106,,,,,,,,,,,,,,,,,,,
Kirinyaga       ,302011,308369,31,610411,,,,,,,,,,,,,,,,,,,
Kirinyaga Central     ,60118,62617,5,122740,,,,,,,,,,,,,,,,,,,
Kirinyaga East     .,67037,68514,8,135559,,,,,,,,,,,,,,,,,,,
Kirinyaga West     .,56154,58502,4,114660,,,,,,,,,,,,,,,,,,,
Mwea Eas t     ,66432,66114,8,132554,,,,,,,,,,,,,,,,,,,
Mwea Wes t     ,52228,52594,6,104828,,,,,,,,,,,,,,,,,,,
Mt. Kenya Fores t*     ,42,28,,70,,,,,,,,,,,,,,,,,,,
Murang'a       ,523940,532669,31,1056640,,,,,,,,,,,,,,,,,,,
Murang'a Eas t     .,54665,55645,1,110311,,,,,,,,,,,,,,,,,,,
Kangema     ,39582,40862,3,80447,,,,,,,,,,,,,,,,,,,
Mathioya      ,45454,47359,1,92814,,,,,,,,,,,,,,,,,,,
Kahuro       ,43352,44834,7,88193,,,,,,,,,,,,,,,,,,,
Murang'a South     ,91732,93087,5,184824,,,,,,,,,,,,,,,,,,,
Gatanga      ,94437,93548,4,187989,,,,,,,,,,,,,,,,,,,
Kigumo      ,67989,68929,3,136921,,,,,,,,,,,,,,,,,,,
Kandara      ,86698,88393,7,175098,,,,,,,,,,,,,,,,,,,
Aberdare Fores t*     ,31,12,,43,,,,,,,,,,,,,,,,,,,
Kiambu        ,1187146,1230454,135,2417735,,,,,,,,,,,,,,,,,,,
Gatundu North    ,54189,55678,3,109870,,,,,,,,,,,,,,,,,,,
Gatundu South    ,60384,61714,5,122103,,,,,,,,,,,,,,,,,,,
Githunguri      ,82037,83187,8,165232,,,,,,,,,,,,,,,,,,,
Juja        ,148446,152480,22,300948,,,,,,,,,,,,,,,,,,,
Kabete       ,97794,101845,14,199653,,,,,,,,,,,,,,,,,,,
Kiambaa      ,115690,120695,15,236400,,,,,,,,,,,,,,,,,,,
Kiambu       ,69661,76225,17,145903,,,,,,,,,,,,,,,,,,,
Kikuyu       ,90919,96198,5,187122,,,,,,,,,,,,,,,,,,,
Lari        ,67061,68238,4,135303,,,,,,,,,,,,,,,,,,,
Limuru       ,79632,79682,,159314,,,,,,,,,,,,,,,,,,,
Ruiru        ,180947,190144,20,371111,,,,,,,,,,,,,,,,,,,
Thika East      ,19688,19264,4,38956,,,,,,,,,,,,,,,,,,,
Thika West     ,120698,125104,18,245820,,,,,,,,,,,,,,,,,,,
Turkana       ,478087,448868,21,926976,,,,,,,,,,,,,,,,,,,
Kibish       ,18651,18117,1,36769,,,,,,,,,,,,,,,,,,,
Loima       ,54341,53453,1,107795,,,,,,,,,,,,,,,,,,,
Turkana Central     .,93145,92160,,185305,,,,,,,,,,,,,,,,,,,
Turkana East    ,76871,61643,12,138526,,,,,,,,,,,,,,,,,,,
Turkana North    ,32810,32408,,65218,,,,,,,,,,,,,,,,,,,
Turkana South    ,78402,75329,5,153736,,,,,,,,,,,,,,,,,,,
Turkana West    ,123867,115758,2,239627,,,,,,,,,,,,,,,,,,,
West Pokot      ,307013,314213,15,621241,,,,,,,,,,,,,,,,,,,
Kipkomo      ,50923,51703,7,102633,,,,,,,,,,,,,,,,,,,
Pokot Central    ,59682,59331,3,119016,,,,,,,,,,,,,,,,,,,
Pokot North     ,64780,69702,3,134485,,,,,,,,,,,,,,,,,,,
Pokot South     ,39808,40851,2,80661,,,,,,,,,,,,,,,,,,,
West Pokot     ,91820,92626,,184446,,,,,,,,,,,,,,,,,,,
Samburu       ,156774,153546,7,310327,,,,,,,,,,,,,,,,,,,
Samburu Central     ,83633,81307,2,164942,,,,,,,,,,,,,,,,,,,
Samburu East    ,38211,39782,1,77994,,,,,,,,,,,,,,,,,,,
Samburu North     .,34930,32457,4,67391,,,,,,,,,,,,,,,,,,,
Trans Nzoia      ,489107,501206,28,990341,,,,,,,,,,,,,,,,,,,
Trans Nzoia West     ,101198,101174,5,202377,,,,,,,,,,,,,,,,,,,
Trans Nzoia East     ,113498,116029,11,229538,,,,,,,,,,,,,,,,,,,
Kwanza       ,100234,103584,3,203821,,,,,,,,,,,,,,,,,,,
Endebess      ,56090,55689,3,111782,,,,,,,,,,,,,,,,,,,
Kiminini       ,118087,124730,6,242823,,,,,,,,,,,,,,,,,,,
Uasin Gishu      ,580269,582889,28,1163186,,,,,,,,,,,,,,,,,,,
Ainabkoi      ,68348,69835,1,138184,,,,,,,,,,,,,,,,,,,
Kapseret      ,99650,98845,4,198499,,,,,,,,,,,,,,,,,,,
Kesses       ,74301,74493,4,148798,,,,,,,,,,,,,,,,,,,
Moiben       ,90309,91027,2,181338,,,,,,,,,,,,,,,,,,,
Soy        ,114082,115007,5,229094,,,,,,,,,,,,,,,,,,,
Turbo        ,133579,133682,12,267273,,,,,,,,,,,,,,,,,,,
Elgeyo/Marakwet     .,227317,227151,12,454480,,,,,,,,,,,,,,,,,,,
Keiyo North     ,49601,49574,1,99176,,,,,,,,,,,,,,,,,,,
Keiyo South     ,60919,59827,4,120750,,,,,,,,,,,,,,,,,,,
Marakwet Eas t    ,47849,49190,2,97041,,,,,,,,,,,,,,,,,,,
Marakwet Wes t     .,68948,68560,5,137513,,,,,,,,,,,,,,,,,,,
Nandi        ,441259,444430,22,885711,,,,,,,,,,,,,,,,,,,
Chesumei      ,80949,83180,4,164133,,,,,,,,,,,,,,,,,,,
Nandi Central    ,73291,74255,7,147553,,,,,,,,,,,,,,,,,,,
Nandi East     ,59899,59271,3,119173,,,,,,,,,,,,,,,,,,,
Nandi North     ,82512,83656,3,166171,,,,,,,,,,,,,,,,,,,
Nandi South     ,85718,87029,3,172750,,,,,,,,,,,,,,,,,,,
Tinderet       ,58890,57039,2,115931,,,,,,,,,,,,,,,,,,,
Baringo       ,336322,330428,13,666763,,,,,,,,,,,,,,,,,,,
Baringo Central     .,48120,48829,2,96951,,,,,,,,,,,,,,,,,,,
Baringo North    ,52369,52500,2,104871,,,,,,,,,,,,,,,,,,,
East Pokot     ,40462,39459,2,79923,,,,,,,,,,,,,,,,,,,
Koibatek      ,65295,64238,2,129535,,,,,,,,,,,,,,,,,,,
Marigat       ,45706,45246,3,90955,,,,,,,,,,,,,,,,,,,
Mogotio       ,46014,45088,2,91104,,,,,,,,,,,,,,,,,,,
Tiaty East      ,38356,35068,,73424,,,,,,,,,,,,,,,,,,,
Laikipia       ,259440,259102,18,518560,,,,,,,,,,,,,,,,,,,
Laikipia Central     .,47888,47705,1,95594,,,,,,,,,,,,,,,,,,,
Laikipia East     ,52078,50732,5,102815,,,,,,,,,,,,,,,,,,,
Laikipia North    ,18067,18116,1,36184,,,,,,,,,,,,,,,,,,,
Laikipia West    ,65158,64102,3,129263,,,,,,,,,,,,,,,,,,,
Nyahururu      ,76249,78447,8,154704,,,,,,,,,,,,,,,,,,,
Nakuru        ,177272,184835,95,2162202,,,,,,,,,,,,,,,,,,,
Gilgil        ,92955,92247,7,185209,,,,,,,,,,,,,,,,,,,
Kuresoi North    ,87472,87599,3,175074,,,,,,,,,,,,,,,,,,,
Kuresoi South    ,78204,77117,3,155324,,,,,,,,,,,,,,,,,,,
Molo        ,78129,78598,5,156732,,,,,,,,,,,,,,,,,,,
Naivasha      ,179222,176132,29,355383,,,,,,,,,,,,,,,,,,,
Nakuru East     ,92956,100960,10,193926,,,,,,,,,,,,,,,,,,,
Nakuru North    ,106155,111880,15,218050,,,,,,,,,,,,,,,,,,,
Nakuru West    ,101797,96854,10,198661,,,,,,,,,,,,,,,,,,,
Njoro        ,118361,120408,4,238773,,,,,,,,,,,,,,,,,,,
Rongai       ,99976,99922,8,199906,,,,,,,,,,,,,,,,,,,
Subukia       ,42045,43118,1,85164,,,,,,,,,,,,,,,,,,,
Narok        ,579042,578805,26,1157873,,,,,,,,,,,,,,,,,,,
Narok East     ,58699,56617,7,115323,,,,,,,,,,,,,,,,,,,
Narok North     ,128024,123829,9,251862,,,,,,,,,,,,,,,,,,,
Narok South     ,118441,120029,2,238472,,,,,,,,,,,,,,,,,,,
Narok West     ,97085,98198,4,195287,,,,,,,,,,,,,,,,,,,
Trans Mara East     ,54545,56637,1,111183,,,,,,,,,,,,,,,,,,,
Trans Mara West     ,122220,123491,3,245714,,,,,,,,,,,,,,,,,,,
Mau Fores t*     ,28,4,,32,,,,,,,,,,,,,,,,,,,
Kajiado        ,557098,560704,38,1117840,,,,,,,,,,,,,,,,,,,
Is inya       ,105607,104860,6,210473,,,,,,,,,,,,,,,,,,,
Kajiado Central     .,81514,80343,5,161862,,,,,,,,,,,,,,,,,,,
Kajiado North    ,150675,155908,13,306596,,,,,,,,,,,,,,,,,,,
Kajiado West    ,91607,91237,5,182849,,,,,,,,,,,,,,,,,,,
Loitokitok      ,94613,97225,8,191846,,,,,,,,,,,,,,,,,,,
Mas huuru      ,33082,31131,1,64214,,,,,,,,,,,,,,,,,,,
Kericho       ,450741,451008,28,901777,,,,,,,,,,,,,,,,,,,
Belgut       ,72508,72564,,145072,,,,,,,,,,,,,,,,,,,
Bureti       ,98823,100642,5,199470,,,,,,,,,,,,,,,,,,,
Kericho East     ,86671,83947,7,170625,,,,,,,,,,,,,,,,,,,
Kipkelion      ,61066,61460,4,122530,,,,,,,,,,,,,,,,,,,
Londiani      ,68570,69000,10,137580,,,,,,,,,,,,,,,,,,,
Soin Sigowet    ,63103,63395,2,126500,,,,,,,,,,,,,,,,,,,
Bomet        ,434287,441379,23,875689,,,,,,,,,,,,,,,,,,,
Bomet East     ,71095,73172,8,144275,,,,,,,,,,,,,,,,,,,
Chepalungu     ,79921,84912,4,164837,,,,,,,,,,,,,,,,,,,
Konoin       ,83120,80384,3,163507,,,,,,,,,,,,,,,,,,,
Sotik        ,112369,115482,4,227855,,,,,,,,,,,,,,,,,,,
Bomet Central    ,87782,87429,4,175215,,,,,,,,,,,,,,,,,,,
Kakamega      ,897133,970406,40,1867579,,,,,,,,,,,,,,,,,,,
Butere       ,73634,80463,3,154100,,,,,,,,,,,,,,,,,,,
Kakamega Central    ,92774,95432,6,188212,,,,,,,,,,,,,,,,,,,
Kakamega East     .,80853,86784,4,167641,,,,,,,,,,,,,,,,,,,
Kakamega North     ,115511,122814,5,238330,,,,,,,,,,,,,,,,,,,
Kakamega South     ,53219,58524,,111743,,,,,,,,,,,,,,,,,,,
Khwisero      ,53670,59803,3,113476,,,,,,,,,,,,,,,,,,,
Likuyani       ,73710,78341,4,152055,,,,,,,,,,,,,,,,,,,
Lugari       ,59135,63593,,122728,,,,,,,,,,,,,,,,,,,
Matete       ,31749,34423,,66172,,,,,,,,,,,,,,,,,,,
Matungu      ,78793,88143,4,166940,,,,,,,,,,,,,,,,,,,
Mum ias  Eas t    ,55895,60953,3,116851,,,,,,,,,,,,,,,,,,,
Mum ias  Wes t    ,54915,60438,1,115354,,,,,,,,,,,,,,,,,,,
Navakholo      ,73275,80695,7,153977,,,,,,,,,,,,,,,,,,,
Vihiga        ,283678,306323,12,590013,,,,,,,,,,,,,,,,,,,
Emuhaya      ,46507,50633,1,97141,,,,,,,,,,,,,,,,,,,
Vihiga       ,45788,49501,3,95292,,,,,,,,,,,,,,,,,,,
Sabatia       ,62944,68683,1,131628,,,,,,,,,,,,,,,,,,,
Luanda       ,51525,55165,4,106694,,,,,,,,,,,,,,,,,,,
Hamisi       ,76901,82337,3,159241,,,,,,,,,,,,,,,,,,,
Kakamega Forest*    ,13,4,,17,,,,,,,,,,,,,,,,,,,
Bungoma       ,812146,858389,35,1670570,,,,,,,,,,,,,,,,,,,
Bumula       ,103368,112523,1,215892,,,,,,,,,,,,,,,,,,,
Bungoma Central     ,86302,91438,8,177748,,,,,,,,,,,,,,,,,,,
Bungoma East    ,55775,58771,2,114548,,,,,,,,,,,,,,,,,,,
Bungoma North     .,58790,62526,1,121317,,,,,,,,,,,,,,,,,,,
Bungoma South     ,139705,148055,5,287765,,,,,,,,,,,,,,,,,,,
Cheptais      ,67717,68312,6,136035,,,,,,,,,,,,,,,,,,,
Kimilili-Bungoma     ,78560,83475,3,162038,,,,,,,,,,,,,,,,,,,
Mt. Elgon      ,38977,39893,3,78873,,,,,,,,,,,,,,,,,,,
Bungoma West     .,58225,61649,1,119875,,,,,,,,,,,,,,,,,,,
Tongaren      ,48685,51657,1,100343,,,,,,,,,,,,,,,,,,,
Webuye West    ,74180,78331,4,152515,,,,,,,,,,,,,,,,,,,
Mt. Elgon Fores t*     ,1862,1759,,3621,,,,,,,,,,,,,,,,,,,
Busia        ,426252,467401,28,893681,,,,,,,,,,,,,,,,,,,
Bunyala       ,41465,44511,1,85977,,,,,,,,,,,,,,,,,,,
Busia       ,69034,73373,1,142408,,,,,,,,,,,,,,,,,,,
Butula       ,65136,75195,3,140334,,,,,,,,,,,,,,,,,,,
Nambale      ,52900,58732,4,111636,,,,,,,,,,,,,,,,,,,
Samia       ,50821,56341,14,107176,,,,,,,,,,,,,,,,,,,
Teso North     ,66412,71619,3,138034,,,,,,,,,,,,,,,,,,,
Teso South     ,80484,87630,2,168116,,,,,,,,,,,,,,,,,,,
Siaya        ,471669,521496,18,993183,,,,,,,,,,,,,,,,,,,
Siaya        ,105906,118433,4,224343,,,,,,,,,,,,,,,,,,,
Gem        ,85696,94092,4,179792,,,,,,,,,,,,,,,,,,,
Ugenya       ,62624,71726,4,134354,,,,,,,,,,,,,,,,,,,
Ugunja       ,48912,55329,,104241,,,,,,,,,,,,,,,,,,,
Bondo       ,95962,101917,4,197883,,,,,,,,,,,,,,,,,,,
Rarieda       ,72569,79999,2,152570,,,,,,,,,,,,,,,,,,,
Kisumu        ,560942,594609,23,1155574,,,,,,,,,,,,,,,,,,,
Kisumu East    ,108304,112689,4,220997,,,,,,,,,,,,,,,,,,,
Kisumu Central     .,84155,89985,5,174145,,,,,,,,,,,,,,,,,,,
Kisumu West    ,85697,87121,3,172821,,,,,,,,,,,,,,,,,,,
Seme       ,57658,64007,2,121667,,,,,,,,,,,,,,,,,,,
Muhoroni      ,76770,77345,1,154116,,,,,,,,,,,,,,,,,,,
Nyando       ,77121,84380,7,161508,,,,,,,,,,,,,,,,,,,
Nyakach      ,71237,79082,1,150320,,,,,,,,,,,,,,,,,,,
Homa Bay       ,539560,592367,23,1131950,,,,,,,,,,,,,,,,,,,
Homa Bay      ,55756,61681,2,117439,,,,,,,,,,,,,,,,,,,
Ndhiwa       ,103706,114422,8,218136,,,,,,,,,,,,,,,,,,,
Rachuonyo North     ,85409,93273,4,178686,,,,,,,,,,,,,,,,,,,
Rachuonyo East     ,57709,64111,2,121822,,,,,,,,,,,,,,,,,,,
Rachuonyo South     ,61663,69151,,130814,,,,,,,,,,,,,,,,,,,
Rangwe       ,55404,62325,3,117732,,,,,,,,,,,,,,,,,,,
Suba North     ,60530,64406,2,124938,,,,,,,,,,,,,,,,,,,
Suba South     ,59383,62998,2,122383,,,,,,,,,,,,,,,,,,,
Migori        ,536187,580214,35,1116436,,,,,,,,,,,,,,,,,,,
Awendo       ,56348,60939,3,117290,,,,,,,,,,,,,,,,,,,
Kuria East      ,46969,49894,9,96872,,,,,,,,,,,,,,,,,,,
