Region,Total,Male,Female
NG'OMBENI,"13,166","6,557","6,608"
PUNGU,"5,471","2,768","2,703"
TIWI,"23,914","12,013","11,901"
MKOYO,"10,427","5,203","5,224"
SIMKUMBE,"13,487","6,810","6,677"
TSIMBA,"16,682","8,087","8,595"
KUNDUTSI,"9,664","4,646","5,018"
MAZUMALUME,"7,018","3,441","3,577"
WAA,"27,460","13,426","14,033"
KITIVO,"6,619","3,282","3,336"
KOMBANI,"10,272","4,895","5,377"
MATUGA,"10,569","5,249","5,320"
SHIMBA HILLS NAT. RESERVE,41,27,14
SHIMBA HILLS NAT. RESERVE,41,27,14
SHIMBA HILLS NAT. RESERVE,41,27,14
MSAMBWENI,"177,690","89,206","88,480"
DIANI,"129,414","65,345","64,065"
DIANI,"96,868","48,596","48,268"
BONGWE,"12,252","6,216","6,036"
GOMBATO,"32,079","16,160","15,917"
UKUNDA,"52,537","26,220","26,315"
KINONDO,"32,546","16,749","15,797"
GAZI,"6,733","3,470","3,263"
KINONDO,"25,813","13,279","12,534"
MSAMBWENI,"48,276","23,861","24,415"
KINGWEDE/SHIRAZI,"13,630","6,776","6,854"
FUNZI,"1,066",552,514
KINGWEDE,"5,864","2,885","2,979"
SHIRAZI,"6,700","3,339","3,361"
MIVUMONI,"12,122","6,107","6,015"
MIVUMONI,"12,122","6,107","6,015"
MSAMBWENI,"22,524","10,978","11,546"
MILALANI,"6,922","3,381","3,541"
VINGUJINI,"15,602","7,597","8,005"
SAMBURU,"202,235","97,497","104,731"
KASEMENI,"103,714","49,943","53,769"
GANDINI,"15,347","7,445","7,902"
GANDINI,"15,347","7,445","7,902"
KASEMENI,"30,519","14,726","15,792"
CHIGATO,"4,979","2,378","2,600"
MAZERAS,"12,643","6,269","6,374"
MNYENZENI,"10,663","4,969","5,694"
MWAMDUDU,"2,234","1,110","1,124"
MTAA,"14,080","6,677","7,403"
BOFU,"7,354","3,514","3,840"
MABESHENI,"2,327","1,112","1,215"
MTAA,"4,399","2,051","2,348"
MWATATE,"17,375","8,347","9,028"
MATUMBI,"3,713","1,824","1,889"
MWATATE,"13,662","6,523","7,139"
MWAVUMBO,"26,393","12,748","13,644"
KALALANI,"17,762","8,640","9,121"
MWABILA,"8,631","4,108","4,523"
SAMBURU,"98,521","47,554","50,962"
CHENGONI,"19,954","9,623","10,330"
CHENGONI,"8,604","4,221","4,383"
MAJI YA CHUMVI,"3,856","1,910","1,946"
SILALONI,"7,494","3,492","4,001"
MACKNON ROAD,"17,294","8,610","8,683"
KILIBASI,"3,458","1,745","1,713"
MACKINNON ROAD,"13,836","6,865","6,970"
MAKAMINI,"6,009","2,805","3,204"
CHIGUTU,"4,053","1,897","2,156"
MAKAMINI,"1,956",908,"1,048"
SAMBURU,"30,294","14,458","15,835"
KINAGONI,"12,474","5,969","6,505"
MATOPE,"17,820","8,489","9,330"
TARU,"16,571","8,068","8,503"
DUPHARO,"16,571","8,068","8,503"
VINYUNDUNI,"8,399","3,990","4,407"
DZIVANI,"4,592","2,174","2,418"
VINYUNDUNI,"3,807","1,816","1,989"
KILIFI,"1,453,787","704,089","749,673"
CHONYI,"62,335","29,527","32,807"
CHONYI,"62,335","29,527","32,807"
BANDA RA SALAMA,"11,023","5,235","5,788"
MWEMBEKATI,"5,761","2,722","3,039"
PINGILIKANI,"5,262","2,513","2,749"
CHASIMBA,"18,770","9,003","9,767"
CHASIMBA,"6,801","3,257","3,544"
KITSOENI,"5,696","2,752","2,944"
MWAKAMBI,"6,273","2,994","3,279"
MWARAKAYA,"16,563","7,725","8,838"
KIZINGO,"11,332","5,254","6,078"
MWARAKAYA,"5,231","2,471","2,760"
ZIANI,"15,979","7,564","8,414"
NG'OMBENI,"5,629","2,703","2,926"
ZIANI,"10,350","4,861","5,488"
GANZE,"143,906","66,921","76,981"
BAMBA,"61,396","28,432","32,963"
BAMBA,"13,783","6,398","7,384"
CHAPUNGU,"3,435","1,551","1,884"
MARYANGO,"3,640","1,734","1,906"
MWAKWALA,"3,571","1,661","1,909"
PAZIANI,"3,137","1,452","1,685"
BANDARI,"11,007","5,014","5,993"
KARIMANI,"1,884",873,"1,011"
KIDEMU,"2,582","1,215","1,367"
MIKAMINI,"3,748","1,667","2,081"
MITSEMERINI,"2,793","1,259","1,534"
MITANGANI,"11,009","5,264","5,745"
DANGARANI,"2,462","1,177","1,285"
GEDE,"2,687","1,316","1,371"
GOSHI,"1,862",899,963
MIDOINA,"1,585",784,801
MIGUJINI,"1,260",584,676
MNAGONI,"1,153",504,649
MTSARA WA TSATSU,"15,133","6,954","8,179"
CHIRA,"4,970","2,274","2,696"
KERESA,"2,933","1,368","1,565"
NAMBANI,"4,079","1,918","2,161"
WACHO,"3,151","1,394","1,757"
NDIGIRIA,"10,464","4,802","5,662"
MIRIHINI,"3,327","1,521","1,806"
MWAMBANI,"3,609","1,657","1,952"
NDIGIRIA/MAPOTEA,"3,528","1,624","1,904"
GANZE,"28,625","13,343","15,280"
DUNGICHA,"5,030","2,292","2,736"
DUNGICHA/MUHONI,"2,895","1,315","1,580"
MWEZA/MIGODOMANI,"2,135",977,"1,156"
GANZE,"12,352","5,744","6,608"
PETANGUO,"4,224","1,951","2,273"
TSANGALAWENI/GANZE,"8,128","3,793","4,335"
PALAKUMI,"11,243","5,307","5,936"
MARIANI/VITSAPUNI,"4,557","2,141","2,416"
PALAKUMI/MIGUMOMIRI,"6,686","3,166","3,520"
VITENGENI,"53,875","25,137","28,737"
DIDA,"4,825","2,239","2,586"
DIDA,"4,825","2,239","2,586"
MRIMA WA NDEGE,"7,154","3,336","3,817"
DULUKIZA,"1,806",895,910
MILORE,"3,338","1,554","1,784"
MRIMA WA NDEGE,"2,010",887,"1,123"
MWAHERA,"15,277","7,065","8,212"
DZIKUNZE,"3,168","1,472","1,696"
KAEMBENI,"4,099","1,899","2,200"
MWAHERA,"2,921","1,323","1,598"
MWANGEA,"2,746","1,280","1,466"
NDUGUMNANI,"2,343","1,091","1,252"
SOKOKE,"14,238","6,677","7,561"
KACHORORONI,"2,058",922,"1,136"
MAGOGONI,"5,397","2,497","2,900"
NYARI,"5,371","2,571","2,800"
RARE,"1,412",687,725
VITENGENI,"12,381","5,820","6,561"
MADAMANI,"8,572","4,003","4,569"
MITSEDZINI,"1,329",638,691
VITENGENI,"2,480","1,179","1,301"
ARABUKO SOKOKE FOREST,10,9,1
ARABUKO SOKOKE FOREST,10,9,1
ARABUKO SOKOKE FOREST,10,9,1
KALOLENI,"193,682","92,614","101,063"
KALOLENI,"65,631","31,416","34,215"
CHANAGANDE,"19,856","9,424","10,432"
BIRINI/MWAMLEKA,"5,129","2,383","2,746"
CHALANI/MIHINGONI,"8,479","4,076","4,403"
MIKIRIANI,"6,248","2,965","3,283"
JIBANA,"18,605","8,941","9,664"
CHILULU,"3,681","1,728","1,953"
KWALE,"5,558","2,646","2,912"
NYALANI,"6,049","2,971","3,078"
TSAGWA,"3,317","1,596","1,721"
KALOLENI,"27,170","13,051","14,119"
KALOLENI/VISHAKANI,"21,000","10,088","10,912"
KINANI/MAKOMBOANI,"6,170","2,963","3,207"
MARIAKANI,"70,351","34,172","36,176"
MARIAKANI,"57,415","28,165","29,247"
KAWALA/KADZONZO,"18,295","8,870","9,422"
MARIAKANI/MITANGONI,"39,120","19,295","19,825"
TSANGATSINI,"12,936","6,007","6,929"
MNYENZENI,"4,876","2,204","2,672"
TSANGATSINI,"8,060","3,803","4,257"
MWANAMWINGA,"57,700","27,026","30,672"
KAYAFUNGO,"22,997","11,025","11,971"
MBALAMWENI,"13,043","6,268","6,774"
MRIMANI,"9,954","4,757","5,197"
KINAGONI,"8,606","3,882","4,724"
KINAGONI,"4,001","1,772","2,229"
MIYANI,"4,605","2,110","2,495"
MWANAMWINGA,"26,097","12,119","13,977"
KIBWABWANI,"4,797","2,245","2,552"
KITHENGWANI,"12,075","5,614","6,461"
VIRAGONI,"9,225","4,260","4,964"
KAUMA,"22,638","10,965","11,673"
JARIBUNI,"22,638","10,965","11,673"
JARIBUNI,"7,183","3,496","3,687"
CHIVARA,"2,701","1,311","1,390"
MARERE,"2,237","1,088","1,149"
MWAPULA,"2,245","1,097","1,148"
KAUMA,"9,306","4,477","4,829"
MAGOGONI/MATOLANI,"2,001",934,"1,067"
MDANGARANI,"2,109","1,026","1,083"
MSANDA,"1,426",704,722
VINAGONI,"3,770","1,813","1,957"
VYAMBANI,"6,149","2,992","3,157"
NGAMANI,"3,198","1,536","1,662"
VYAMBANI,"2,951","1,456","1,495"
KILIFI NORTH,"178,824","86,986","91,836"
BAHARI,"178,824","86,986","91,836"
MATSANGONI,"18,806","8,987","9,819"
MATSANGONI,"6,318","3,034","3,284"
MKONGANI,"6,174","2,854","3,320"
UYOMBO,"6,314","3,099","3,215"
NGERENYA,"19,627","9,562","10,064"
EZAMOYO,"4,586","2,215","2,370"
NGERENYA,"8,724","4,269","4,455"
ZOWERANI,"6,317","3,078","3,239"
ROKA,"20,828","10,290","10,538"
CHUMANI,"10,912","5,385","5,527"
ROKA,"9,916","4,905","5,011"
TEZO,"44,129","21,518","22,611"
KIBARANI,"21,125","10,055","11,070"
MAJAONI/MTONDIA,"23,004","11,463","11,541"
TOWNSHIP,"75,434","36,629","38,804"
HOSPITAL,"39,776","19,263","20,512"
KONJORA,"15,768","7,740","8,028"
MNARANI,"11,253","5,468","5,785"
SOKONI,"8,637","4,158","4,479"
KILIFI SOUTH,"206,753","101,852","104,897"
KIKAMBALA,"206,753","101,852","104,897"
JUNJU,"44,347","22,053","22,294"
JUNJU,"14,232","6,965","7,267"
KURUWITU,"12,618","6,281","6,337"
VIPINGO,"17,497","8,807","8,690"
MAVUENI/TAKAUNGU,"34,669","17,119","17,550"
KIRIBA/WANGWANI,"5,451","2,716","2,735"
MAVUENI/MAJAJANI,"11,411","5,555","5,856"
MKOMANI/MKWAJUNI,"9,355","4,684","4,671"
TAKAUNGU,"8,452","4,164","4,288"
MTWAPA,"127,737","62,680","65,053"
KANAMAI,"28,118","13,761","14,357"
KIDUTANI-MAWAMBA,"12,986","6,546","6,440"
KIJIPWA,"15,643","8,074","7,566"
SHIMO LA TEWA,"70,990","34,299","36,690"
MAGARINI,"191,610","93,302","98,308"
MAGARINI,"125,119","60,749","64,370"
FUNDI ISSA,"39,293","19,067","20,226"
FUNDI ISSA,"11,186","5,490","5,696"
MARERENI,"28,107","13,577","14,530"
GONGONI,"32,797","16,003","16,794"
GONGONI,"21,200","10,233","10,967"
NGOMENI,"8,657","4,349","4,308"
SHOMELA,"2,940","1,421","1,519"
MAGARINI,"53,029","25,679","27,350"
BOMANI,"9,547","4,645","4,902"
MAMBRUI,"23,952","11,641","12,311"
MARIKEBUNI,"11,530","5,617","5,913"
PUMWANI,"8,000","3,776","4,224"
MARAFA,"66,491","32,553","33,938"
ADU,"13,367","6,604","6,763"
ADU,"3,646","1,782","1,864"
KADZANDANI,"1,588",774,814
KAMALE,"3,185","1,613","1,572"
RAMADA,"4,948","2,435","2,513"
BUNGALE,"16,298","8,040","8,258"
BARICHO,"3,583","1,699","1,884"
DAKACHA,"6,558","3,283","3,275"
GANDINI,"1,900",960,940
WAKALA,"4,257","2,098","2,159"
CHAMARI,"4,221","2,223","1,998"
CHAMARI,"4,221","2,223","1,998"
DAGAMRA,"12,097","5,761","6,336"
BATE,"4,785","2,268","2,517"
BURA,"5,161","2,454","2,707"
KAYA,"2,151","1,039","1,112"
GARASHI,"6,749","3,287","3,462"
MASINDENI,"1,143",572,571
MIKUYUNI,"2,623","1,258","1,365"
SINGWAYA,"2,983","1,457","1,526"
MARAFA,"13,759","6,638","7,121"
BORE,"5,645","2,685","2,960"
MADINA,"6,129","2,975","3,154"
MAMBASA,"1,985",978,"1,007"
MALINDI,"333,226","163,351","169,866"
LANGOBAYA,"45,741","22,496","23,245"
CHAKAMA,"16,518","8,405","8,113"
KISIKI CHA WAGIRIAMA,"5,018","2,534","2,484"
MAKONGENI,"9,142","4,710","4,432"
MATOLANI,"2,358","1,161","1,197"
JILORE,"12,311","5,883","6,428"
GIRIMACHA,"1,944",893,"1,051"
JILORE,"4,398","2,067","2,331"
KAKONENI,"5,969","2,923","3,046"
LANGOBAYA,"16,912","8,208","8,704"
LANGOBAYA,"5,502","2,793","2,709"
MAKOBENI,"2,787","1,338","1,449"
MALANGA,"5,626","2,643","2,983"
MKONDONI,"2,997","1,434","1,563"
MALINDI,"287,485","140,855","146,621"
GANDA,"25,114","12,420","12,694"
GANDA,"5,727","2,896","2,831"
MERE,"8,112","4,018","4,094"
MSABAHA,"11,275","5,506","5,769"
GEDE,"38,759","18,982","19,777"
DABASO,"18,009","8,964","9,045"
MIDA MAJAONI,"7,459","3,579","3,880"
MIJOMBONI,"7,608","3,642","3,966"
MKENGE,"5,683","2,797","2,886"
GOSHI,"22,189","10,695","11,490"
KAKUYUNI,"6,405","3,062","3,343"
MADUNGUNI,"3,214","1,529","1,685"
MALIMO,"5,890","2,870","3,016"
MONGOTINI,"2,878","1,405","1,473"
PAZIANI,"3,802","1,829","1,973"
MALINDI,"166,357","81,190","85,163"
BARANI,"40,874","19,944","20,929"
CENTRAL,"26,811","12,803","14,007"
KIJIWETANGA,"19,897","9,805","10,092"
SABAKI,"24,219","12,301","11,918"
SHELLA,"54,556","26,337","28,217"
WATAMU,"35,066","17,568","17,497"
CHEMBE KIBABAMCHE,"6,284","3,207","3,077"
JIMBA,"10,522","5,321","5,200"
MrgOBARAKA CHEMBE,"5,974","2,927","3,047"
WATAMU,"12,286","6,113","6,173"
RABAI,"120,813","58,571","62,242"
KAMBE/RIBE,"18,551","9,087","9,464"
KAMBE,"8,424","4,096","4,328"
MBWAKA/KIKOMANI,"8,424","4,096","4,328"
PANGANI/MAERENI,"4,909","2,443","2,466"
PANGANI/MAERENI,"4,909","2,443","2,466"
RIBE,"5,218","2,548","2,670"
CHAURINGO,"2,985","1,430","1,555"
KINUNGUNA/FORODHANI,"2,233","1,118","1,115"
MWAWESA,"44,289","21,103","23,186"
MIKAHANI,"4,413","2,130","2,283"
MIKAHANI,"4,413","2,130","2,283"
MWAWESA,"13,856","6,554","7,302"
BWAGAMOYO,"8,482","4,032","4,450"
CHANG'OMBE,"2,732","1,254","1,478"
MWAMTSUNGA,"2,642","1,268","1,374"
RURUMA,"26,020","12,419","13,601"
JIMBA,"5,143","2,499","2,644"
MIKOMANI,"4,008","1,938","2,070"
MIYUNI,"5,936","2,870","3,066"
MLEJI,"10,933","5,112","5,821"
RABAI,"57,973","28,381","29,592"
RABAI,"57,973","28,381","29,592"
BUNI KISIMANI,"11,406","5,570","5,836"
KALIANGOMBE,"12,047","6,028","6,019"
MGUMO WA PATSA,"24,518","11,949","12,569"
MWELE KISURUTINI,"10,002","4,834","5,168"
TANA RIVER,"315,943","158,550","157,391"
TANA DELTA,"110,640","55,716","54,924"
GARSEN,"51,318","25,301","26,017"
ASSA,"2,103","1,029","1,074"
ASSA,"1,694",844,850
ONJILA,409,185,224
BILISA,"13,060","6,304","6,756"
CHIRA,"1,850",875,975
GARSEN,"11,210","5,429","5,781"
GALILI,"8,086","4,025","4,061"
DANISA,"2,226","1,073","1,153"
DUMI,"2,616","1,341","1,275"
GALILI,"3,244","1,611","1,633"
GALMA,"3,151","1,538","1,613"
ABAGANDA,"1,019",473,546
SERA,"2,132","1,065","1,067"
KONE,"2,805","1,392","1,413"
KONE,"2,805","1,392","1,413"
MWINA,"2,785","1,410","1,375"
BENDERANI,"1,484",762,722
MIKAMENI,"1,301",648,653
NDERA,"6,206","3,005","3,201"
BAHATI,"1,669",818,851
BAOMO,"1,970",933,"1,037"
MNAZINI,"2,567","1,254","1,313"
SALAMA,"4,415","2,255","2,160"
MAZIWA,"2,487","1,263","1,224"
WEMA,"1,928",992,936
SHIRIKISHO,"8,707","4,343","4,364"
DALU,"3,632","1,881","1,751"
IDSOWE,"5,075","2,462","2,613"
KIPINI,"20,528","10,493","10,035"
KILELENGWANI,"6,146","3,158","2,988"
KAU,"3,676","1,909","1,767"
KILELENGWANI,"2,470","1,249","1,221"
KIPINI,"12,371","6,328","6,043"
KIPINI,"5,729","2,885","2,844"
MATANGENI,"6,642","3,443","3,199"
OZI,"2,011","1,007","1,004"
OZI,"1,450",711,739
MPEKETONI,561,296,265
TARASAA,"38,794","19,922","18,872"
CHARA,"5,730","3,137","2,593"
CHAMWANAMUMA,"3,256","1,680","1,576"
SEMIKARO,"2,474","1,457","1,017"
KIPAO,"6,247","3,174","3,073"
KIPAO,"4,724","2,373","2,351"
ONGONYO,"1,523",801,722
KONEMANSA,"3,795","2,080","1,715"
KIKOMO,"1,322",769,553
ODOLE,"2,473","1,311","1,162"
NGAO,"7,111","3,657","3,454"
GOLBANTI,814,414,400
NGAO,"2,111","1,093","1,018"
TARASAA,"4,186","2,150","2,036"
WACHU ODA,"15,911","7,874","8,037"
BURA KOFIRA,"2,700","1,353","1,347"
HANDARAKU,"2,892","1,384","1,508"
KURAWA,"6,191","3,131","3,060"
ODA,"4,128","2,006","2,122"
TANA NORTH,"116,757","59,123","57,632"
BURA,"42,502","21,562","20,940"
BURA,"19,051","9,750","9,301"
BISADI,"4,677","2,247","2,430"
BISIKDERA,"5,204","2,638","2,566"
METI,"9,170","4,865","4,305"
CHEWELE,"6,501","3,184","3,317"
BILBIL,"1,554",785,769
CHEWELE,"2,924","1,407","1,517"
WADESA,"2,023",992,"1,031"
DUKANOTU,"5,460","2,853","2,607"
CHARIDENDE,"4,334","2,258","2,076"
DUKANOTU,"1,126",595,531
HIRIMANI,"1,869",876,993
HIRIMANI,742,343,399
WALESOREA,"1,127",533,594
HOSINGO,"1,238",626,612
HALO,966,473,493
WALESTOKOCHA,272,153,119
NANIGHI,"7,010","3,574","3,436"
BAWAMA,"2,535","1,271","1,264"
NANIGHI,"4,475","2,303","2,172"
SABUKIA,"1,373",699,674
KANIKI,460,252,208
TITILA,913,447,466
MADOGO,"47,056","23,814","23,241"
ARERI,"1,838",928,910
TULA,"1,838",928,910
MADOGO,"26,070","12,962","13,107"
MADOGO,"23,725","11,756","11,968"
MARAMTU,"2,345","1,206","1,139"
MORORO,"10,114","5,327","4,787"
MORORO,"6,642","3,546","3,096"
ZIWANI,"3,472","1,781","1,691"
SAKA,"5,738","3,001","2,737"
KONORAMADHA,"2,754","1,458","1,296"
MULANJO,"2,984","1,543","1,441"
SALA,"3,296","1,596","1,700"
SALA,"1,760",847,913
SOMBO,"1,536",749,787
MBALAMBALA,"8,113","4,111","4,002"
BUWA,"4,664","2,359","2,305"
BUWA,"3,215","1,634","1,581"
KORATI,"1,449",725,724
MBALAMBALA,"3,449","1,752","1,697"
ASAKO,"2,541","1,271","1,270"
PAMBA,908,481,427
BANGALE,"19,086","9,636","9,449"
BANGALE,"14,282","7,132","7,149"
BANGALE,"11,717","5,798","5,918"
KURITI,"2,565","1,334","1,231"
BOKA,"2,762","1,438","1,324"
BOKA,"2,762","1,438","1,324"
KAMAGURU,"2,042","1,066",976
EL RAR,902,480,422
KAMAGURU,792,391,401
ODOWAN,348,195,153
TANA RIVER,"88,546","43,711","44,835"
GALOLE,"70,173","34,735","35,438"
CHEWANI,"8,550","4,139","4,411"
CHEWANI,"4,239","2,091","2,148"
HOLA MISSION,"4,311","2,048","2,263"
CHIFIRI,"3,119","1,651","1,468"
CHIFIRI,"1,607",824,783
HAKOKA,"1,512",827,685
DABA,"3,344","1,714","1,630"
DABA,"3,344","1,714","1,630"
DAYATE,"2,038","1,044",994
DAYATE,996,504,492
GURURI,"1,042",540,502
HARORESA,"1,732",848,884
HARORESA,"1,732",848,884
KALKACHA,"2,463","1,322","1,141"
CHAMARI,711,375,336
KALKACHA,"1,752",947,805
KIARKUNGU,"2,394","1,195","1,199"
KIARKUNGU,"1,157",574,583
MATANYA,"1,237",621,616
LAKOLE,914,440,474
KESI,914,440,474
MAKERE,"3,701","1,791","1,910"
BUBU,"1,805",898,907
GHOREI,"1,896",893,"1,003"
MASABUBU,"2,849","1,394","1,455"
MASABUBU,719,374,345
RHOKA,"2,130","1,020","1,110"
MIKINDUNI,"6,898","3,356","3,542"
LENDA,"2,818","1,377","1,441"
MIKINDUNI,"4,080","1,979","2,101"
MILALULU,"5,180","2,547","2,633"
BOHONI,"2,060","1,057","1,003"
LAINI,"3,120","1,490","1,630"
TITILA,"2,251","1,060","1,191"
TITILA,"2,251","1,060","1,191"
WALDENA,"3,953","1,924","2,029"
WALDENA,"3,953","1,924","2,029"
WAYU,"5,045","2,461","2,584"
KOTICHA,"1,072",523,549
WAYU,"3,973","1,938","2,035"
ZUBAKI,"15,742","7,849","7,893"
HOLA,"1,909",969,940
KASARANI,"2,839","1,423","1,416"
KIBUYU,"10,994","5,457","5,537"
WENJE,"18,373","8,976","9,397"
GWANO,"4,465","2,160","2,305"
HARA,"1,377",657,720
MARONI,"1,092",541,551
WENJE,"1,996",962,"1,034"
JAMHURI,"2,746","1,350","1,396"
BUBUBU,"2,746","1,350","1,396"
KINAKOMBA,"3,575","1,751","1,824"
MAJENGO,"1,388",688,700
MASALANI,"2,187","1,063","1,124"
MAZUNI,"3,464","1,696","1,768"
GAFURU,"1,783",890,893
MAZUNI,731,327,404
MKOMANI,950,479,471
