"County/Sub County","Total population male","Total Population Male","Total Population Female","Total*","Persons With Albinism Male","Persons With Albinism Female"
"NYANDARUA WEST",97590,48470,49116,14,6,8
"NYANDARUA NORTH",98396,48315,50079,13,9,4
"ABERDARE NATIONAL PARK",15,11,4,"-","-","-"
"NYERI",752695,370072,382596,121,49,72
"TETU",80283,39213,41068,13,4,9
"KIENI EAST",109624,54882,54738,18,8,10
"KIENI WEST",88014,43598,44411,17,8,9
"MATHIRA EAST",98425,47717,50705,9,3,6
"MATHIRA WEST",59729,29407,30319,14,6,8
"NYERI SOUTH",90803,43952,46849,18,6,12
"MUKURWE-INI",88674,43746,44922,21,12,9
"NYERI CENTRAL",136849,67360,69487,11,2,9
"MT. KENYA FOREST",188,123,65,"-","-","-"
"ABERDARE FOREST",106,74,32,"-","-","-"
"KIRINYAGA",605630,298845,306757,96,39,57
"KIRINYAGA CENTRAL",121419,59201,62213,15,5,10
"KIRINYAGA EAST",135085,66793,68284,27,15,12
"KIRINYAGA WEST",114191,55876,58311,20,7,13
"MWEA EAST",130571,64988,65577,22,7,15
"MWEA WEST",104327,51961,52361,12,5,7
"MT. KENYA FOREST",37,26,11,"-","-","-"
"MURANG'A",1053059,521518,531510,168,62,106
"MURANG'A EAST",108675,53446,55228,12,3,9
"KANGEMA",80189,39420,40766,18,8,10
"MATHIOYA",92656,45371,47284,21,9,12
"KAHURO",88059,43271,44781,18,4,14
"MURANG'A SOUTH",184190,91287,92898,27,10,17
"GATANGA",187631,94225,93402,26,11,15
"KIGUMO",136827,67946,68878,18,5,13
"KANDARA",174789,86521,88261,28,12,16
"ABERDARE FOREST",43,31,12,"-","-","-"
"KIAMBU",2402834,1178685,1224022,284,129,155
"GATUNDU NORTH",109654,54069,55582,11,2,9
"GATUNDU SOUTH",121693,60169,61519,20,11,9
"GITHUNGURI",164939,81847,83084,20,11,9
"JUJA",299671,147737,151912,38,16,22
"KABETE",199114,97504,101596,22,8,14
"KIAMBAA",235858,115482,120363,24,10,14
"KIAMBU",144241,68670,75555,19,10,9
"KIKUYU",186093,90340,95749,32,13,19
"LARI",134651,66751,67897,15,8,7
"LIMURU",157873,78944,78929,25,11,14
"RUIRU",369618,179918,189681,30,15,15
"THIKA EAST",38573,19559,19010,2,1,1
"THIKA WEST",240856,117695,123145,26,13,13
"TURKANA",922210,474906,447284,255,145,110
"KIBISH",36401,18425,17975,1,1,"-"
"LOIMA",106625,53686,52939,5,1,4
"TURKANA CENTRAL",183121,91544,91577,22,9,13
"TURKANA EAST",138265,76683,61570,24,12,12
"TURKANA NORTH",65125,32783,32342,5,1,4
"TURKANA SOUTH",153350,78125,75220,23,11,12
"TURKANA WEST",239323,123660,115661,175,110,65
"WEST POKOT",618867,305469,313384,75,36,39
"KIPKOMO",102311,50748,51557,9,5,4
"POKOT CENTRAL",118721,59493,59225,10,4,6
"POKOT NORTH",134012,64576,69433,18,11,7
"POKOT SOUTH",80590,39762,40826,5,2,3
"WEST POKOT",183233,90890,92343,33,14,19
"SAMBURU",307957,155110,152841,36,19,17
"SAMBURU CENTRAL",163942,82993,80947,14,11,3
"SAMBURU EAST",77136,37644,39491,15,6,9
"SAMBURU NORTH",66879,34473,32403,7,2,5
"TRANS NZOIA",985333,485792,499515,211,102,109
"TRANS NZOIA WEST",199644,99081,100558,30,15,15
"TRANS NZOIA EAST",229117,113264,115843,28,12,16
"KWANZA",203586,100063,103520,54,25,29
"ENDEBESS",111681,56050,55628,41,21,20
"KIMININI",241305,117334,123966,58,29,29
"UASIN GISHU",1152671,573060,579585,129,60,69
"AINABKOI",137117,67686,69431,19,8,11
"KAPSERET",196883,98482,98397,23,14,9
"KESSES",148228,74033,74191,10,5,5
"MOIBEN",178105,88005,90098,22,13,9
"SOY",228219,113437,114777,31,12,19
"TURBO",264119,131417,132691,24,8,16
"ELGEY/MARAKWET",453403,226606,226785,46,20,26
"KEIYO NORTH",98683,49265,49417,9,6,3
"KEIYO SOUTH",120643,60834,59805,17,7,10
"MARAKWET EAST",96897,47748,49147,7,3,4
"MARAKWET WEST",137180,68759,68416,13,4,9
"NANDI",883634,439958,443654,137,60,77
"CHESUMEI",163564,80707,82853,22,12,10
"NANDI CENTRAL",146634,72601,74026,31,13,18
"NANDI EAST",118997,59795,59199,16,9,7
"NANDI NORTH",166023,82404,83616,26,13,13
"NANDI SOUTH",172672,85672,86997,25,9,16
"TINDERET",115744,58779,56963,17,4,13
"BARINGO",662760,333819,328929,76,44,32
"BARINGO CENTRAL",96195,47661,48533,15,8,7
"BARINGO NORTH",104654,52248,52404,6,6,"-"
"EAST POKOT",79770,40361,39407,9,4,5
"KOIBATEK",128874,64801,64071,13,8,5
"MARIGAT",89210,44666,44541,6,4,2
"MOGOTIO",90911,45860,45049,17,9,8
"TIATY EAST",73146,38222,34924,10,5,5
"LAIKIPIA",513879,255998,257869,44,21,23
"LAIKIPIA CENTRAL",95281,47702,47579,10,5,5
"LAIKIPIA EAST",100874,50604,50265,15,5,10
"LAIKIPIA NORTH",35870,17893,17976,2,1,1
"LAIKIPIA WEST",128693,64658,64032,7,5,2
"NYAHURURU",153161,75141,78017,10,5,5
"NAKURU",2142667,1064095,1078483,232,100,132
"GILGIL",182862,91648,91207,22,9,13
"KURESOI NORTH",174898,87352,87543,13,6,7
"KURESOI SOUTH",154998,78017,76978,11,5,6
"MOLO",156279,77872,78402,19,5,14
"NAIVASHA",349067,174423,174617,37,14,23
"NAKURU EAST",190161,90612,99539,23,10,13
"NAKURU NORTH",217425,105728,111682,36,14,22
"NAKURU WEST",194723,98971,95742,21,9,12
"NJORO",238233,118113,120116,31,20,11
"RONGAI",199004,99419,99581,12,4,8
"SUBUKIA",85017,41940,43076,7,4,3
"NAROK",1149379,573009,576344,86,38,48
"NAROK EAST",115091,58536,56548,6,2,4
"NAROK NORTH",250105,126740,123356,15,7,8
"NAROK SOUTH",238301,118304,119995,15,8,7
"NAROK WEST",190237,93421,96812,7,2,5
"TRANS MARA EAST",111119,54507,56611,17,8,9
"TRANS MARA WEST",244494,121473,123018,26,11,15
"MAU FOREST",32,28,4,"-","-","-"
"KAJIADO",1107296,550146,557118,115,57,58
"ISINYA",207715,103573,104136,19,11,8
"KAJIADO CENTRAL",159520,79927,79590,13,2,11
"KAJIADO NORTH",304404,149296,155096,35,19,16
"KAJIADO WEST",181622,90867,90750,14,9,5
"LOITOKITOK",190174,93667,96502,29,15,14
"MASHUURU",63861,32816,31044,5,1,4
"KERICHO",896863,447468,449367,59,28,31
"BELGUT",144882,72386,72496,7,5,2
"BURETI",198781,98462,100314,13,7,6
"KERICHO EAST",167898,84671,83220,13,4,9
"KIPKELION",122380,60983,61393,9,5,4
"LONDIANI",137013,68173,68830,9,4,5
"SOIN SIGOWET",125909,62793,63114,8,3,5
"BOMET",873023,432591,440410,88,49,39
"BOMET EAST",143816,70859,72950,20,10,10
"CHEPALUNGU",164710,79831,84875,19,11,8
"KONOIN",163359,83031,80325,13,8,5
"SOTIK",227380,112012,115364,24,15,9
"BOMET CENTRAL",173758,86858,86896,12,5,7
"KAKAMEGA",1861332,893121,968174,568,254,314
"BUTERE",153926,73570,80353,47,17,30
"KAKAMEGA CENTRAL",185625,90840,94781,53,30,23
"KAKAMEGA EAST",166288,79843,86441,60,19,41
"KAKAMEGA NORTH",238093,115401,122687,78,39,39
"KAKAMEGA SOUTH",111608,53157,58451,28,12,16
"KHWISERO",113294,53577,59714,50,22,28
"LIKUYANI",151773,73554,78216,48,22,26
"LUGARI",122584,59075,63509,26,15,11
"MATETE",66155,31740,34415,21,9,12
"MATUNGU",166755,78721,88030,40,20,20
"MUMIAS EAST",116712,55833,60876,32,14,18
"MUMIAS WEST",114601,54556,60044,31,10,21
"NAVAKHOLO",153918,73254,80657,54,25,29
"VIHIGA",587189,282231,304949,190,76,114
"EMUHAYA",97035,46448,50586,50,21,29
"VIHIGA",94509,45355,49152,24,8,16
"SABATIA",130851,62596,68254,34,14,20
"LUANDA",105707,51024,54681,42,16,26
"HAMISI",159070,76795,82272,40,17,23
"KAKAMEGA FOREST",17,13,4,"-","-","-"
"BUNGOMA",1663898,808115,855749,481,212,269
"BUMULA",215546,103197,112348,45,19,26
"BUNGOMA CENTRAL",177175,85965,91202,48,24,24
"BUNGOMA EAST",114242,55580,58660,39,19,20
"BUNGOMA NORTH",120871,58575,62295,34,15,19
"BUNGOMA SOUTH",284662,137597,147060,69,25,44
"CHEPTAIS",135864,67621,68237,53,24,29
"KIMILILI",161628,78329,83296,59,31,28
"MT. ELGON",78782,38933,39846,20,11,9
"BUNGOMA WEST",119585,58077,61507,33,12,21
"TONGAREN",100268,48645,51622,21,8,13
"WEBUYE WEST",151654,73734,77917,60,24,36
"MT. ELGON FOREST",3621,1862,1759,"-","-","-"
"BUSIA",886856,421657,465171,314,143,171
"BUNYALA",85645,41241,44403,24,15,9
"BUSIA",138274,66057,72216,40,22,18
"BUTULA",140051,64998,75050,41,14,27
"NAMBALE",111543,52840,58699,33,11,22
"SAMIA",107004,50738,56252,33,16,17
"TESO NORTH",136804,65640,71161,23,10,13
"TESO SOUTH",167535,80143,87390,120,55,65
"SIAYA",989708,469633,520058,342,137,205
"SIAYA",223182,105131,118047,71,27,44
"GEM",179570,85573,93993,72,26,46
"UGENYA",134166,62534,71628,47,20,27
"UGUNJA",103892,48738,55154,27,12,15
"BONDO",196835,95370,101462,91,40,51
"RARIEDA",152063,72287,79774,34,12,22
"KISUMU",1144777,553465,591289,298,125,173
"KISUMU EAST",219996,107852,112140,46,20,26
"KISUMU CENTRAL",170592,81981,88606,20,11,9
"KISUMU WEST",169806,83118,86685,43,20,23
"SEME",121461,57520,63939,40,12,28
"MUHORONI",151799,75009,76789,39,17,22
"NYANDO",160804,76749,84048,62,29,33
"NYAKACH",150319,71236,79082,48,16,32
"HOMA BAY",1125823,536085,589717,375,169,206
"HOMA BAY",116034,54872,61161,26,13,13
"NDHIWA",217549,103456,114085,60,28,32
"RACHUONYO NORTH",178036,84978,93054,60,25,35
"RACHUONYO EAST",121233,57406,63825,40,18,22
"RACHUONYO SOUTH",130212,61349,68863,45,19,26
"RANGWE",117128,55111,62014,52,24,28
"SUBA NORTH",123892,60022,63869,37,20,17
"SUBA SOUTH",121739,58891,62846,55,22,33
"MIGORI",1108950,532162,576756,242,96,146
"AWENDO",116268,55921,60345,40,16,24
"KURIA EAST",96455,46732,49714,17,9,8
"KURIA WEST",207528,100576,106946,33,15,18
"NYATIKE",175180,83382,91791,44,19,25
"RONGO",123984,58928,65055,33,14,19
"SUNA EAST",121365,58104,63258,20,9,11
"SUNA WEST",127113,60601,66511,27,9,18
"URIRI",141057,67918,73136,28,5,23
"KISII",1260509,602031,658441,425,194,230
"ETAGO",83661,40081,43577,28,17,11
"GUCHA",83098,39313,43784,27,12,14
"GUCHA SOUTH",83209,39851,43355,21,10,11
"KENYENYA",131325,62662,68660,56,22,34
"KISII CENTRAL",163782,79203,84576,42,16,26
"KISII SOUTH",134940,64429,70506,50,26,24
"KITUTU CENTRAL",153686,74319,79361,38,17,21
"MARANI",107230,50430,56799,50,27,23
"MASABA SOUTH",122149,58023,64121,45,20,25
"NYAMACHE",130666,62010,68653,56,20,36
"SAMETA",66763,31710,35049,12,7,5
"NYAMIRA",603051,289443,313595,190,86,104
"BORABU",72797,36471,36326,21,12,9
"MANGA",94056,44779,49275,36,9,27
"MASABA NORTH",110914,52344,58568,49,20,29
"NYAMIRA NORTH",166959,80128,86825,32,16,16
"NYAMIRA SOUTH",158325,75721,82601,52,29,23
"NAIROBI",4337080,2151473,2185406,525,257,268
"DAGORETTI",432331,216528,215776,50,18,32
"EMBAKASI",983232,489380,493813,102,56,46
"KAMUKUNJI",263462,132785,130670,30,16,14
"KASARANI",772586,375173,397379,87,32,55
"KIBRA",181509,91842,89660,22,19,3
"LANG'ATA",191207,92845,98354,27,12,15
"MAKADARA",188792,95811,92971,26,15,11
"MATHARE",204469,105047,99408,32,18,14
"NJIRU",623471,305774,317667,79,35,44
"STAREHE",194726,96858,97858,27,13,14
"WESTLANDS",301295,149430,151850,43,23,20
